name,latitude,longitude
Nierskanal,49.01,13.23
Zwiefelhof,49.22,11.18
Zwiefaltendorf,48.21,9.51
Zwiefalten,48.23,9.46
Zwiedorf,53.69,13.05
Zwickgabel,48.58,8.31
Zwickau,50.72,12.48
Zwethau,51.58,13.04
Zwesten,51.05,9.17
Zwernberg,49.11,10.27
Zweribach,48.03,8.1
Zwergern,47.58,11.32
Zwergen,51.48,9.29
Zwergau,49.86,11.97
Zwerenberg,49.01,9.54
Zwerenberg,48.63,8.59
Zwerchstraß,48.91,10.80
Zwenzow,53.32,12.94
Zwenkau,51.21,12.33
Zweitschen,50.96,12.30
Zweinig,51.09,13.15
Zweinaundorf,51.32,12.45
Zweimen,51.36,12.13
Zweikirchen,48.48,12.13
Zweiflingen,49.32,10.37
Zweiflingen,49.25,9.51
Zweifelsheim,49.54,10.82
Zweifelscheid,50.03,6.25
Zweifelsberg,48.07,9.71
Zweifelbach,50.80,11.50
Zweifelau,49.91,11.86
Zweifall,50.71,6.25
Zweidorf,52.32,10.37
Zweibrüggen,50.93,6.10
Zweibrücken,49.24,7.36
Zweibrücken,51.40,14.70
Zweibach,50.44,12.86
Zweenfurth,51.33,12.54
Zweedorf,54.08,11.67
Zweedorf,53.43,10.63
Zweckstätt,47.90,12.04
Zweckham,47.94,12.64
Zweckel,51.59,6.98
Zwebendorf,51.50,12.09
Zwätzen,50.95,11.61
Zwalbach,49.55,6.78
Zwackau,50.76,11.80
Zwabitz,50.81,11.54
Zuzenhausen,49.29,8.82
Zuwald,48.39,8.18
Zützschdorf,51.3,11.9
Zützen,53.02,14.23
Zützen,51.94,13.64
Züttlingen,49.29,9.33
Zustorf,48.41,11.94
Züssow,53.97,13.54
Zußdorf,47.84,9.43
Züsow,53.92,11.67
Zusmarshausen,48.40,10.59
Zusenhofen,48.54,8.02
Züsedom,53.44,14.01
Zuschendorf,50.93,13.91
Züschen,51.17,9.22
Züschen,51.15,8.56
Züsch,49.65,7.0
Zusamzell,48.48,10.60
Zusamaltheim,48.53,10.63
Zurstraße,51.29,7.46
Zurow,53.86,11.61
Zurnhausen,48.43,11.77
Zurlberg,48.50,12.37
Zürkvitz,54.60,13.28
Zurheiden,50.66,7.44
Zürchel,51.61,13.84
Zürchau,50.92,12.43
Zürbach,50.55,7.82
Zunzingen,47.82,7.65
Züntersbach,50.31,9.73
Zunsweier,48.42,7.94
Zunschwitz,51.18,13.17
Zunham,47.94,12.32
Zündorf,50.86,7.04
Zumweiler,48.59,8.59
Zum Wagner,49.06,10.0
Zum Stein,48.11,9.88
Zumroda,50.89,12.50
Zumholz,48.99,10.04
Zumhof,50.72,7.33
Zumhof,49.06,12.43
Zumhof,48.88,9.54
Zumhaus,49.21,10.24
Zumberg,49.17,10.37
Zultenberg,50.05,11.31
